year,month,lat,lng,weight
0,0,-6,68,1.00000
0,2,-12,64,0.25310
0,2,-11,54,0.00159
0,2,-11,56,0.09491
0,2,-10,53,0.00110
0,2,-10,76,0.22146
0,2,-9,50,0.00134
0,2,-9,53,0.12655
0,2,-9,55,0.03164
0,2,-8,50,0.00134
0,2,-8,52,0.03225
0,2,-8,53,0.19056
0,2,-8,56,0.00110
0,2,-8,57,0.00037
0,2,-7,61,0.00098
0,2,-7,62,0.00073
0,2,-7,64,0.00134
0,2,-7,65,0.00256
0,2,-6,55,0.00122
0,2,-6,56,0.00110
0,2,-6,58,0.00085
0,2,-6,59,0.00549
0,2,-6,60,0.00464
0,2,-6,61,0.00476
0,2,-6,62,0.00220
0,2,-6,63,0.00073
0,2,-6,64,0.00500
0,2,-6,65,0.00244
0,2,-5,57,0.00098
0,2,-5,62,0.00073
0,2,-5,63,0.00110
0,2,-5,64,0.00134
0,2,-5,65,0.00354
0,4,-17,64,0.00042
0,4,-16,84,0.04778
0,4,-16,85,0.02048
0,4,-15,82,0.00293
0,4,-14,50,0.00136
0,4,-14,54,0.00032
0,4,-14,67,0.01572
0,4,-14,69,0.01465
0,4,-14,70,0.02087
0,4,-14,71,0.01757
0,4,-14,72,0.00883
0,4,-14,82,0.04393
0,4,-14,83,0.04393
0,4,-13,50,0.00052
0,4,-13,55,0.01555
0,4,-13,56,0.00043
0,4,-13,57,0.00032
0,4,-13,61,0.00037
0,4,-13,63,0.00028
0,4,-13,73,0.00026
0,4,-13,83,0.00879
0,4,-13,84,0.00586
0,4,-12,46,0.01049
0,4,-12,47,0.01049
0,4,-12,48,0.00799
0,4,-12,49,0.00026
0,4,-12,53,0.00039
0,4,-12,54,0.00785
0,4,-12,55,0.01316
0,4,-12,56,0.00074
0,4,-12,57,0.00070
0,4,-12,64,0.00586
0,4,-12,79,0.05915
0,4,-12,85,0.01138
0,4,-12,86,0.02048
0,4,-12,87,0.00228
0,4,-11,44,0.00112
0,4,-11,46,0.00034
0,4,-11,47,0.00082
0,4,-11,49,0.00669
0,4,-11,50,0.01111
0,4,-11,51,0.00238
0,4,-11,52,0.02474
0,4,-11,53,0.00892
0,4,-11,54,0.03372
0,4,-11,55,0.04024
0,4,-11,56,0.00378
0,4,-11,57,0.00069
0,4,-11,65,0.01759
0,4,-11,66,0.02344
0,4,-11,79,0.01365
0,4,-11,87,0.01593
0,4,-11,95,0.00683
0,4,-10,43,0.00222
0,4,-10,44,0.00245
0,4,-10,49,0.01327
0,4,-10,51,0.01777
0,4,-10,52,0.05780
0,4,-10,53,0.00055
0,4,-10,55,0.00190
0,4,-10,56,0.00100
0,4,-10,95,0.00228
0,4,-9,42,0.00223
0,4,-9,53,0.00125
0,4,-9,54,0.00109
0,4,-9,56,0.00389
0,4,-9,57,0.00055
0,4,-9,68,0.01757
0,4,-9,69,0.01757
0,4,-9,79,0.00038
0,4,-9,83,0.01820
0,4,-8,39,0.00028
0,4,-8,45,0.00041
0,4,-8,46,0.00219
0,4,-8,47,0.00143
0,4,-8,56,0.00055
0,4,-8,57,0.00032
0,4,-8,58,0.00026
0,4,-8,59,0.00235
0,4,-8,60,0.00260
0,4,-7,43,0.00042
0,4,-7,44,0.00026
0,4,-7,45,0.03827
0,4,-7,46,0.00275
0,4,-7,49,0.00051
0,4,-7,57,0.00085
0,4,-7,59,0.00114
0,4,-7,60,0.00512
0,4,-7,61,0.00198
0,4,-6,43,0.00045
0,4,-6,45,0.00035
0,4,-6,49,0.00026
0,4,-6,50,0.00031
0,4,-6,51,0.00040
0,4,-6,52,0.00215
0,4,-6,55,0.00028
0,4,-6,60,0.03723
0,4,-6,61,0.00052
0,4,-5,42,0.00025
0,4,-5,45,0.00174
0,4,-5,47,0.00028
0,4,-4,45,0.00081
0,4,-4,46,0.00034
0,4,-3,54,0.00603
0,4,-3,55,0.02185
0,4,-3,56,0.01307
0,4,-2,41,0.00026
0,4,-2,42,0.00032
0,4,1,50,0.00951
0,4,1,51,0.02210
0,4,1,60,0.00045
0,4,2,60,0.00089
0,6,-22,99,0.01752
0,6,-21,99,0.01001
0,6,-20,69,0.00188
0,6,-20,86,0.00025
0,6,-19,98,0.00276
0,6,-18,50,0.00031
0,6,-18,53,0.00049
0,6,-18,55,0.00106
0,6,-18,56,0.00048
0,6,-18,57,0.00068
0,6,-18,58,0.00086
0,6,-18,59,0.00174
0,6,-18,60,0.00344
0,6,-18,61,0.00038
0,6,-18,63,0.00026
0,6,-18,64,0.00098
0,6,-18,88,0.00038
0,6,-18,89,0.00096
0,6,-18,95,0.00119
0,6,-18,97,0.01683
0,6,-18,98,0.01261
0,6,-18,102,0.00293
0,6,-18,103,0.00469
0,6,-17,50,0.00193
0,6,-17,52,0.00093
0,6,-17,55,0.00088
0,6,-17,69,0.00088
0,6,-17,88,0.00094
0,6,-17,90,0.00029
0,6,-17,95,0.00721
0,6,-17,96,0.00368
0,6,-17,97,0.00282
0,6,-17,102,0.00195
0,6,-16,50,0.00148
0,6,-16,51,0.00056
0,6,-16,52,0.00038
0,6,-16,55,0.00026
0,6,-16,88,0.00448
0,6,-16,90,0.00049
0,6,-16,95,0.00191
0,6,-16,96,0.00707
0,6,-16,99,0.00146
0,6,-16,102,0.00028
0,6,-15,50,0.00218
0,6,-15,55,0.00197
0,6,-15,56,0.00228
0,6,-15,58,0.00065
0,6,-15,60,0.00052
0,6,-15,65,0.00074
0,6,-15,66,0.00061
0,6,-15,67,0.00038
0,6,-15,68,0.00038
0,6,-15,77,0.00211
0,6,-15,78,0.00415
0,6,-15,79,0.00525
0,6,-15,80,0.00102
0,6,-15,81,0.00323
0,6,-15,84,0.00086
0,6,-15,85,0.00045
0,6,-15,86,0.00127
0,6,-15,87,0.01241
0,6,-15,88,0.00886
0,6,-15,90,0.00036
0,6,-15,91,0.00054
0,6,-15,95,0.00246
0,6,-15,99,0.00585
0,6,-14,46,0.00046
0,6,-14,47,0.00030
0,6,-14,55,0.00027
0,6,-14,56,0.00041
0,6,-14,58,0.00052
0,6,-14,59,0.00038
0,6,-14,68,0.00287
0,6,-14,69,0.00133
0,6,-14,79,0.01021
0,6,-14,82,0.00094
0,6,-14,86,0.00039
0,6,-14,87,0.00054
0,6,-14,88,0.00058
0,6,-14,89,0.00938
0,6,-14,90,0.01847
0,6,-14,91,0.01357
0,6,-14,92,0.00039
0,6,-13,43,0.00135
0,6,-13,44,0.00030
0,6,-13,47,0.00072
0,6,-13,53,0.00056
0,6,-13,60,0.00125
0,6,-13,62,0.00031
0,6,-13,64,0.00039
0,6,-13,65,0.00036
0,6,-13,69,0.00150
0,6,-13,70,0.00082
0,6,-13,85,0.00598
0,6,-13,86,0.00338
0,6,-13,87,0.00075
0,6,-13,88,0.00061
0,6,-13,89,0.00031
0,6,-13,90,0.00069
0,6,-13,92,0.00036
0,6,-12,42,0.00040
0,6,-12,45,0.00033
0,6,-12,46,0.00130
0,6,-12,47,0.00192
0,6,-12,48,0.00032
0,6,-12,51,0.00059
0,6,-12,55,0.00035
0,6,-12,59,0.00076
0,6,-12,61,0.00134
0,6,-12,63,0.00397
0,6,-12,67,0.00117
0,6,-12,71,0.00195
0,6,-12,81,0.00028
0,6,-12,83,0.00126
0,6,-12,84,0.00623
0,6,-12,85,0.00104
0,6,-12,86,0.00044
0,6,-12,87,0.00045
0,6,-12,88,0.00038
0,6,-12,89,0.00039
0,6,-12,90,0.00489
0,6,-12,91,0.00381
0,6,-12,92,0.00093
0,6,-12,93,0.00063
0,6,-12,95,0.00333
0,6,-12,96,0.01098
0,6,-12,98,0.00075
0,6,-12,99,0.00056
0,6,-11,40,0.00071
0,6,-11,42,0.00047
0,6,-11,52,0.00062
0,6,-11,53,0.00116
0,6,-11,55,0.00049
0,6,-11,56,0.00318
0,6,-11,57,0.03889
0,6,-11,58,0.03547
0,6,-11,59,0.00026
0,6,-11,61,0.00035
0,6,-11,62,0.00045
0,6,-11,63,0.00064
0,6,-11,64,0.00378
0,6,-11,65,0.00520
0,6,-11,66,0.00040
0,6,-11,68,0.00030
0,6,-11,75,0.00712
0,6,-11,76,0.00162
0,6,-11,79,0.00107
0,6,-11,84,0.00289
0,6,-11,85,0.00489
0,6,-11,86,0.00075
0,6,-11,87,0.00040
0,6,-11,88,0.00069
0,6,-11,89,0.00036
0,6,-11,90,0.00026
0,6,-11,93,0.00026
0,6,-11,97,0.01056
0,6,-11,98,0.00048
0,6,-10,39,0.00027
0,6,-10,41,0.00043
0,6,-10,42,0.00106
0,6,-10,43,0.00027
0,6,-10,54,0.00070
0,6,-10,55,0.00166
0,6,-10,58,0.00042
0,6,-10,59,0.00073
0,6,-10,60,0.00027
0,6,-10,62,0.00059
0,6,-10,63,0.00034
0,6,-10,64,0.00632
0,6,-10,65,0.01862
0,6,-10,66,0.00473
0,6,-10,67,0.00168
0,6,-10,68,0.00031
0,6,-10,70,0.00093
0,6,-10,73,0.00737
0,6,-10,75,0.00027
0,6,-10,79,0.00087
0,6,-10,87,0.00044
0,6,-10,88,0.00043
0,6,-10,89,0.00041
0,6,-10,90,0.00339
0,6,-9,40,0.00072
0,6,-9,41,0.00089
0,6,-9,42,0.00033
0,6,-9,48,0.00080
0,6,-9,49,0.00047
0,6,-9,50,0.00084
0,6,-9,51,0.00062
0,6,-9,56,0.00040
0,6,-9,57,0.00030
0,6,-9,58,0.00088
0,6,-9,59,0.00118
0,6,-9,60,0.00265
0,6,-9,61,0.00387
0,6,-9,62,0.00609
0,6,-9,65,0.00244
0,6,-9,66,0.00082
0,6,-9,71,0.00042
0,6,-9,72,0.00171
0,6,-9,73,0.00141
0,6,-9,75,0.00379
0,6,-9,78,0.00257
0,6,-9,87,0.00040
0,6,-9,88,0.00041
0,6,-9,89,0.00030
0,6,-9,90,0.00032
0,6,-9,91,0.00092
0,6,-8,40,0.00074
0,6,-8,41,0.00030
0,6,-8,44,0.00037
0,6,-8,45,0.00050
0,6,-8,46,0.00032
0,6,-8,47,0.00032
0,6,-8,50,0.00720
0,6,-8,51,0.00934
0,6,-8,52,0.02413
0,6,-8,53,0.01047
0,6,-8,56,0.00147
0,6,-8,57,0.01310
0,6,-8,58,0.02361
0,6,-8,59,0.00196
0,6,-8,60,0.00374
0,6,-8,62,0.00039
0,6,-8,71,0.00026
0,6,-8,72,0.00029
0,6,-8,73,0.00162
0,6,-8,74,0.01699
0,6,-8,75,0.00351
0,6,-8,76,0.00086
0,6,-8,77,0.00331
0,6,-8,78,0.00555
0,6,-8,82,0.00311
0,6,-8,84,0.00040
0,6,-8,85,0.00678
0,6,-8,86,0.00055
0,6,-8,87,0.00046
0,6,-8,90,0.00282
0,6,-8,96,0.00611
0,6,-7,39,0.00293
0,6,-7,40,0.00051
0,6,-7,41,0.01028
0,6,-7,43,0.00032
0,6,-7,44,0.00029
0,6,-7,45,0.00071
0,6,-7,46,0.00032
0,6,-7,48,0.00083
0,6,-7,49,0.00029
0,6,-7,50,0.00041
0,6,-7,51,0.00067
0,6,-7,52,0.00046
0,6,-7,53,0.00066
0,6,-7,55,0.00038
0,6,-7,56,0.00028
0,6,-7,57,0.00428
0,6,-7,58,0.00785
0,6,-7,59,0.00046
0,6,-7,60,0.00063
0,6,-7,62,0.00193
0,6,-7,63,0.00427
0,6,-7,64,0.00121
0,6,-7,84,0.00029
0,6,-7,85,0.00204
0,6,-7,86,0.00997
0,6,-7,88,0.00029
0,6,-7,89,0.00026
0,6,-7,96,0.00595
0,6,-7,97,0.00179
0,6,-7,98,0.00470
0,6,-6,38,0.00049
0,6,-6,39,0.00163
0,6,-6,40,0.00047
0,6,-6,43,0.00033
0,6,-6,46,0.00032
0,6,-6,47,0.00047
0,6,-6,48,0.00109
0,6,-6,50,0.00248
0,6,-6,51,0.01273
0,6,-6,53,0.00057
0,6,-6,54,0.00061
0,6,-6,55,0.00043
0,6,-6,56,0.00076
0,6,-6,61,0.00827
0,6,-6,66,0.00036
0,6,-6,75,0.00027
0,6,-6,78,0.00112
0,6,-6,79,0.00145
0,6,-6,80,0.00747
0,6,-6,81,0.00031
0,6,-6,85,0.00057
0,6,-6,86,0.00058
0,6,-6,96,0.00068
0,6,-5,40,0.00062
0,6,-5,42,0.00039
0,6,-5,47,0.00038
0,6,-5,48,0.00049
0,6,-5,49,0.00468
0,6,-5,50,0.00376
0,6,-5,52,0.00190
0,6,-5,53,0.00755
0,6,-5,54,0.00086
0,6,-5,55,0.00077
0,6,-5,60,0.00694
0,6,-5,61,0.02481
